Wall time,Step,Value
1622628946.363446,174080,0.0
1622628952.134437,176128,0.0
1622628957.856896,178176,0.0
1622628963.6055126,180224,0.0
1622628969.2432249,182272,0.0
1622628975.0250306,184320,0.0
1622628980.7316835,186368,0.0
1622628986.660131,188416,0.0
1622628992.4582813,190464,0.0
1622628998.3071356,192512,0.0
1622629004.2379515,194560,0.0
1622629009.89181,196608,0.0
1622629015.602792,198656,0.0
1622629021.4044704,200704,0.0
1622629027.2318337,202752,0.0
1622629032.9587822,204800,0.0
1622629038.6842375,206848,0.0
1622629044.3576195,208896,0.0
1622629050.0915873,210944,0.0
1622629055.7101417,212992,0.0
1622629061.5361428,215040,0.0
1622629067.5462492,217088,0.0
1622629073.289275,219136,0.0
1622629078.9394484,221184,0.0
1622629085.1135697,223232,0.0
1622629091.1651022,225280,0.0
1622629097.684122,227328,0.0
1622629103.348382,229376,0.0
1622629109.6679018,231424,0.0
1622629116.5644917,233472,0.0
1622629122.6798387,235520,0.0
1622629128.711872,237568,0.0
1622629134.3994942,239616,0.0
1622629141.095041,241664,0.0
1622629146.9364917,243712,0.0
1622629152.6256273,245760,0.0
1622629158.5499945,247808,0.0
1622629164.5769918,249856,0.0
1622629170.75428,251904,0.0
1622629177.7617688,253952,0.0
1622629185.5968428,256000,0.0
1622629193.650496,258048,0.0
1622629201.4758081,260096,0.0
1622629209.285255,262144,0.0
1622629217.528367,264192,0.0
1622629225.5270677,266240,0.0
1622629233.4412296,268288,0.0
1622629241.4852626,270336,0.0
1622629249.7144034,272384,0.0
1622629257.6843827,274432,0.0
1622629265.7415903,276480,0.0
1622629273.6621027,278528,0.0
1622629280.3963947,280576,0.0
1622629286.2893353,282624,0.0
1622629292.0709949,284672,0.0
1622629298.5264192,286720,0.0
1622629305.622658,288768,0.0
1622629313.3067167,290816,0.0
1622629321.3515892,292864,0.0
1622629329.335271,294912,0.0
1622629337.202595,296960,0.0
1622629344.9933887,299008,0.0
1622629352.9791021,301056,0.0
1622629361.057289,303104,0.0
1622629369.06144,305152,0.0
1622629377.0284638,307200,0.0
1622629385.01022,309248,0.0
1622629393.1379123,311296,0.0
1622629401.5018342,313344,0.0
1622629409.5690362,315392,0.0
1622629417.2802238,317440,0.0
1622629425.3084695,319488,0.0
1622629433.2824817,321536,0.0
1622629440.8534133,323584,0.0
1622629448.862158,325632,0.0
1622629456.8755672,327680,0.0
1622629464.747127,329728,0.0
1622629472.8314633,331776,0.0
1622629480.927526,333824,0.0
1622629488.8217008,335872,0.0
1622629496.7464213,337920,0.0
1622629504.70919,339968,0.0
1622629512.7293608,342016,0.0
1622629520.511168,344064,0.0
1622629528.4784703,346112,0.0
1622629536.5972104,348160,0.0
1622629544.4853334,350208,0.0
1622629552.3592753,352256,0.0
1622629560.3945673,354304,0.0
1622629568.5051541,356352,0.0
1622629576.7328653,358400,0.0
1622629584.8218472,360448,0.0
1622629592.7535188,362496,0.0
1622629600.817778,364544,0.0
1622629608.7742918,366592,0.0
1622629616.6417465,368640,0.0
1622629624.7381396,370688,0.0
1622629632.8737907,372736,0.0
1622629640.8572721,374784,0.0
1622629648.9742296,376832,0.0
1622629657.053989,378880,0.0
1622629665.203796,380928,0.0
1622629673.223955,382976,0.0
1622629681.4152906,385024,0.0
1622629689.6306489,387072,0.0
1622629697.6658363,389120,0.0
1622629705.4720745,391168,0.0
1622629713.7114375,393216,0.0
1622629721.79457,395264,0.0
1622629730.05191,397312,0.0
1622629738.510627,399360,0.0
1622629746.7624671,401408,0.0
1622629754.964063,403456,0.0
1622629762.8640993,405504,0.0
1622629770.9155061,407552,0.0
1622629778.8763127,409600,0.0
1622629786.9226098,411648,0.0
1622629794.7557573,413696,0.0
1622629802.6746733,415744,0.0
1622629810.8560786,417792,0.0
1622629818.8409202,419840,0.0
1622629826.835431,421888,0.0
1622629834.6998,423936,0.0
1622629842.4891436,425984,0.0
1622629850.6159635,428032,0.0
1622629858.7300189,430080,0.0
1622629867.0382485,432128,0.0
1622629875.0850291,434176,0.0
1622629883.0404072,436224,0.0
1622629891.2188818,438272,0.0
1622629899.114196,440320,0.0
1622629907.3172333,442368,0.0
1622629915.6158547,444416,0.0
1622629923.881463,446464,0.0
1622629932.0064745,448512,0.0
1622629940.0524507,450560,0.0
1622629948.1905773,452608,0.0
1622629956.3430939,454656,0.0
1622629964.5497887,456704,0.0
1622629972.488776,458752,0.0
1622629981.0653985,460800,0.0
1622629989.200521,462848,0.0
1622629997.0600936,464896,0.0
1622630005.2177541,466944,0.0
1622630013.3822803,468992,0.0
1622630021.4521484,471040,0.0
1622630029.5128312,473088,0.0
1622630037.555822,475136,0.0
1622630045.6245599,477184,0.0
1622630053.7625785,479232,0.0
1622630061.64548,481280,0.0
1622630069.690767,483328,0.0
1622630077.9164908,485376,0.0
1622630086.1180563,487424,0.0
1622630094.2056847,489472,0.0
1622630102.3358645,491520,0.0
1622630110.7243493,493568,0.0
1622630119.325374,495616,0.0
1622630127.491664,497664,0.0
1622630135.4593716,499712,0.0
1622630143.4961858,501760,0.0
1622630151.4813807,503808,0.0
1622630159.6154501,505856,0.0
1622630167.6704748,507904,0.0
