metric,value,step
rollout/ep_len_mean,713.9500122070312,662121.0
rollout/ep_len_mean,714.77001953125,665273.0
rollout/ep_len_mean,718.3800048828125,667858.0
rollout/ep_len_mean,720.1599731445312,670360.0
rollout/ep_len_mean,730.3499755859375,673939.0
rollout/ep_len_mean,732.780029296875,677350.0
rollout/ep_len_mean,728.1799926757812,680890.0
rollout/ep_len_mean,716.1500244140625,682870.0
rollout/ep_len_mean,716.1500244140625,686870.0
rollout/ep_len_mean,714.5,689902.0
rollout/ep_len_mean,711.1099853515625,692657.0
rollout/ep_len_mean,725.8900146484375,695394.0
rollout/ep_len_mean,726.219970703125,698462.0
rollout/ep_len_mean,721.5599975585938,701157.0
rollout/ep_len_mean,727.5499877929688,703537.0
rollout/ep_len_mean,713.6799926757812,706150.0
rollout/ep_len_mean,704.6799926757812,708434.0
rollout/ep_len_mean,685.6500244140625,710531.0
rollout/ep_len_mean,686.760009765625,713658.0
rollout/ep_len_mean,684.0399780273438,715701.0
rollout/ep_len_mean,684.9500122070312,718992.0
rollout/ep_len_mean,684.489990234375,721282.0
rollout/ep_len_mean,688.260009765625,724687.0
rollout/ep_len_mean,696.3300170898438,727604.0
rollout/ep_len_mean,700.0700073242188,730557.0
rollout/ep_len_mean,722.6599731445312,734387.0
rollout/ep_len_mean,728.6699829101562,738140.0
rollout/ep_len_mean,735.5999755859375,741418.0
rollout/ep_len_mean,742.0900268554688,744569.0
rollout/ep_len_mean,733.239990234375,747263.0
rollout/ep_len_mean,731.25,750475.0
rollout/ep_len_mean,699.6199951171875,750852.0
rollout/ep_len_mean,702.97998046875,753168.0
rollout/ep_len_mean,677.0700073242188,754577.0
rollout/ep_len_mean,682.1900024414062,758121.0
rollout/ep_len_mean,685.4099731445312,761198.0
rollout/ep_len_mean,688.3300170898438,764227.0
rollout/ep_len_mean,689.0800170898438,767370.0
rollout/ep_len_mean,699.5,771107.0
rollout/ep_len_mean,690.739990234375,772611.0
rollout/ep_len_mean,701.8099975585938,776331.0
rollout/ep_len_mean,718.969970703125,780331.0
rollout/ep_len_mean,738.0,784331.0
rollout/ep_len_mean,723.3300170898438,785991.0
rollout/ep_len_mean,731.5599975585938,788857.0
rollout/ep_len_mean,730.0800170898438,792000.0
rollout/ep_len_mean,739.8699951171875,795269.0
rollout/ep_len_mean,745.8200073242188,800000.0
rollout/ep_len_mean,747.52001953125,804000.0
rollout/ep_len_mean,747.1199951171875,806913.0
rollout/ep_len_mean,730.0599975585938,809973.0
rollout/ep_len_mean,717.030029296875,813000.0
rollout/ep_len_mean,724.25,817000.0
rollout/ep_len_mean,714.52001953125,819178.0
rollout/ep_len_mean,717.780029296875,822198.0
rollout/ep_len_mean,716.97998046875,825330.0
rollout/ep_len_mean,748.1900024414062,828828.0
rollout/ep_len_mean,745.9199829101562,830917.0
rollout/ep_len_mean,762.989990234375,834033.0
rollout/ep_len_mean,761.6400146484375,837442.0
rollout/ep_len_mean,747.3699951171875,839092.0
rollout/ep_len_mean,745.2000122070312,841904.0
rollout/ep_len_mean,742.280029296875,844755.0
rollout/ep_len_mean,721.9600219726562,846460.0
rollout/ep_len_mean,728.0399780273438,848572.0
rollout/ep_len_mean,705.6500244140625,850053.0
rollout/ep_len_mean,691.3900146484375,852627.0
rollout/ep_len_mean,678.8200073242188,855370.0
rollout/ep_len_mean,698.1500244140625,858963.0
rollout/ep_len_mean,688.780029296875,860892.0
rollout/ep_len_mean,697.3499755859375,864892.0
rollout/ep_len_mean,695.6099853515625,867987.0
rollout/ep_len_mean,687.6199951171875,871188.0
rollout/ep_len_mean,696.75,875188.0
rollout/ep_len_mean,702.4600219726562,878672.0
rollout/ep_len_mean,699.010009765625,880451.0
rollout/ep_len_mean,714.510009765625,884451.0
rollout/ep_len_mean,714.510009765625,888451.0
rollout/ep_len_mean,723.489990234375,891527.0
rollout/ep_len_mean,717.9299926757812,893991.0
rollout/ep_len_mean,719.9600219726562,897326.0
rollout/ep_len_mean,723.530029296875,901181.0
rollout/ep_len_mean,742.6400146484375,905181.0
rollout/ep_len_mean,736.260009765625,907659.0
rollout/ep_len_mean,730.2100219726562,910463.0
rollout/ep_len_mean,746.510009765625,913743.0
rollout/ep_len_mean,758.3900146484375,917743.0
rollout/ep_len_mean,753.0,920055.0
rollout/ep_len_mean,762.4299926757812,922703.0
rollout/ep_len_mean,763.5399780273438,924926.0
rollout/ep_len_mean,777.2899780273438,927782.0
rollout/ep_len_mean,782.760009765625,930903.0
rollout/ep_len_mean,786.2899780273438,933999.0
rollout/ep_len_mean,786.2999877929688,937593.0
rollout/ep_len_mean,806.6699829101562,941559.0
rollout/ep_len_mean,785.3599853515625,943428.0
rollout/ep_len_mean,794.3599853515625,947423.0
rollout/ep_len_mean,791.8200073242188,950370.0
rollout/ep_len_mean,781.239990234375,953312.0
rollout/ep_len_mean,769.6400146484375,955636.0
rollout/ep_len_mean,775.219970703125,957973.0
rollout/ep_len_mean,754.989990234375,959950.0
rollout/ep_len_mean,738.5800170898438,962309.0
rollout/ep_len_mean,738.7000122070312,965397.0
rollout/ep_len_mean,744.4299926757812,968434.0
rollout/ep_len_mean,737.280029296875,971054.0
rollout/ep_len_mean,727.2899780273438,973910.0
rollout/ep_len_mean,727.2899780273438,977910.0
rollout/ep_len_mean,735.72998046875,981232.0
rollout/ep_len_mean,746.4500122070312,985108.0
rollout/ep_len_mean,736.239990234375,987367.0
rollout/ep_len_mean,714.0999755859375,989153.0
rollout/ep_len_mean,717.3800048828125,991793.0
rollout/ep_len_mean,717.0,994403.0
rollout/ep_len_mean,730.969970703125,998023.0
rollout/ep_len_mean,731.52001953125,1000934.0
rollout/ep_len_mean,738.739990234375,1004777.0
rollout/ep_len_mean,738.0499877929688,1007804.0
rollout/ep_len_mean,724.9099731445312,1010084.0
rollout/ep_len_mean,704.780029296875,1012037.0
rollout/ep_len_mean,708.5499877929688,1014283.0
rollout/ep_len_mean,684.5399780273438,1015877.0
rollout/ep_len_mean,682.6099853515625,1018631.0
rollout/ep_len_mean,674.3800048828125,1020750.0
rollout/ep_len_mean,672.97998046875,1022934.0
rollout/ep_len_mean,674.9199829101562,1025465.0
rollout/ep_len_mean,671.9299926757812,1027143.0
rollout/ep_len_mean,654.0,1027709.0
rollout/ep_len_mean,648.27001953125,1030224.0
rollout/ep_len_mean,633.22998046875,1031757.0
rollout/ep_len_mean,627.1900024414062,1033773.0
rollout/ep_len_mean,605.6900024414062,1034479.0
rollout/ep_len_mean,585.8699951171875,1036497.0
rollout/ep_len_mean,567.52001953125,1037984.0
rollout/ep_len_mean,547.7899780273438,1039887.0
rollout/ep_len_mean,527.4299926757812,1040110.0
rollout/ep_len_mean,514.7899780273438,1040632.0
rollout/ep_len_mean,492.69000244140625,1041062.0
rollout/ep_len_mean,470.9800109863281,1041501.0
rollout/ep_len_mean,450.1499938964844,1043038.0
rollout/ep_len_mean,433.3800048828125,1044272.0
rollout/ep_len_mean,396.8999938964844,1044467.0
rollout/ep_len_mean,372.2799987792969,1045032.0
rollout/ep_len_mean,351.8299865722656,1045267.0
rollout/ep_len_mean,335.69000244140625,1045606.0
rollout/ep_len_mean,329.5400085449219,1047237.0
rollout/ep_len_mean,318.6300048828125,1047740.0
rollout/ep_len_mean,295.6400146484375,1048195.0
rollout/ep_len_mean,284.8699951171875,1049237.0
rollout/ep_len_mean,276.7200012207031,1050606.0
rollout/ep_len_mean,275.05999755859375,1052971.0
rollout/ep_len_mean,267.8900146484375,1053932.0
rollout/ep_len_mean,274.79998779296875,1055189.0
rollout/ep_len_mean,251.3699951171875,1055361.0
rollout/ep_len_mean,244.5500030517578,1056212.0
rollout/ep_len_mean,232.6199951171875,1057035.0
rollout/ep_len_mean,228.25999450683594,1057305.0
rollout/ep_len_mean,211.17999267578125,1057615.0
rollout/ep_len_mean,199.0500030517578,1057889.0
rollout/ep_len_mean,184.55999755859375,1058343.0
